movie_id,rank,movie_title,release_date,distributor,genre,gross_2024,tickets_sold,release_year
273,274,RENAISSANCE: A FILM BY BEYO…,2023/12/01,AMC Theatres Dist…,Concert/Perfor…,666311.0,58913.0,2023
274,275,Salaar: Part 1 Ceasefire,2023/12/22,Prathyangira Cine…,Action,660296.0,58382.0,2023
275,276,A Different Man,2024/09/20,A24,Black Comedy,654254.0,57847.0,2024
276,277,The Matrix,1999/03/31,Fathom Events,Action,645296.0,57055.0,1999
277,278,Journey to Bethlehem,2023/11/10,Sony Pictures,Musical,634321.0,56085.0,2023
278,279,All We Imagine as Light,2024/11/15,Janus Films,Drama,627780.0,55507.0,2024
279,280,Memoir of a Snail,2024/10/25,IFC Films,Drama,623930.0,55166.0,2024
280,281,Hundreds of Beavers,2024/01/26,SRH,Comedy,618492.0,54685.0,2024
281,282,Ryan’s World the Movie: Tit…,2024/08/16,Falling Forward F…,Adventure,612999.0,54200.0,2024
282,283,Weekend in Taipei,2024/11/08,Ketchup Entertain…,Action,608034.0,53761.0,2024
283,284,The Teacher’s Lounge,2023/12/25,Sony Pictures Cla…,Drama,596966.0,52782.0,2023
284,285,The Shining,1980/05/23,Fathom Events,Horror,581852.0,51446.0,1980
285,286,The Lord of the Rings: The …,2003/12/05,Fathom Events,Adventure,579405.0,51229.0,2003
286,287,Not Another Church Movie,2024/05/10,Briarcliff Entert…,Comedy,576242.0,50950.0,2024
287,288,Rumours,2024/10/18,Bleecker Street,Black Comedy,571909.0,50567.0,2024
288,289,Faith of Angels,2024/09/12,Purdie Distribution,Drama,570027.0,50400.0,2024
289,290,Wildcat,2024/05/03,Oscilloscope Pict…,Drama,565170.0,49971.0,2024
290,291,Barbie,2023/07/21,Warner Bros.,Comedy,559493.0,49469.0,2023
291,292,Harry Potter and the Prison…,2004/06/04,Warner Bros.,Adventure,557207.0,49267.0,2004
292,293,The Lord of the Rings: The …,2003/12/17,Fathom Events,Adventure,556643.0,49217.0,2003
293,294,Harry Potter and the Deathl…,2011/07/15,Warner Bros.,Adventure,547710.0,48427.0,2011
294,295,Treasure,2024/06/14,Bleecker Street,Drama,541578.0,47885.0,2024
295,296,The Wizard of Oz,2009/09/23,Fathom Events,Musical,534680.0,47275.0,2009
296,297,Winnie-the-Pooh: Blood and …,2024/03/26,Fathom Events,Horror,533144.0,47139.0,2024
297,298,Firebrand,2024/06/14,Roadside Attractions,Drama,521366.0,46098.0,2024
298,299,Dune,1984/12/14,Fathom Events,Action,513870.0,45435.0,1984
